word,syllable_count,frequency,pos,etymology_origin,tone_pattern,file_sources
yêu,1,50,v,sino_vietnamese,low_rising,multiple
thích,1,50,v,native_vietnamese,low_rising,multiple
tám,1,50,m,native_vietnamese,low_rising,multiple
ba,1,15,n,sino_vietnamese,level tone,multiple
bố,1,15,n,sino_vietnamese,low_rising,multiple
bar,1,50,n,sino_vietnamese,neutral,multiple
trắng,1,50,n,sino_vietnamese,high_level,multiple
ngày,1,15,n,sino_vietnamese,high_level,multiple
trăm,1,25,m,sino_vietnamese,high_level,multiple
lớp,1,50,n,sino_vietnamese,rising,multiple
nửa,1,25,n,sino_vietnamese,low_rising,multiple
nửa năm,2,50,n,sino_vietnamese,giọng trầm cho cả hai âm,multiple
nửa ngày,2,45,n,native_vietnamese,mid_rising,multiple
giúp,1,50,v,sino_vietnamese,rising,multiple
giúp đỡ,2,50,v,native_vietnamese,rising then falling-rising tone,multiple
bao,1,50,v|n,sino_vietnamese,low_rising,multiple
bánh bao,2,45,n,sino_vietnamese,high level, high level,multiple
cốc,1,50,n,sino_vietnamese,flat,multiple
cốc,1,20,n,native_vietnamese,low_rising,multiple
bắc,1,15,n,sino_vietnamese,low_tone,multiple
phía bắc,2,50,n,sino_vietnamese,low_high,multiple
Thành Đô,2,25,n,sino_vietnamese,level tone, level tone,multiple
gốc,1,50,n,native_vietnamese,low_rising,multiple
bản,1,50,n,sino_vietnamese,low_rising,multiple
so sánh,2,50,v,sino_vietnamese,low_rising,multiple
biệt,1,50,v,sino_vietnamese,rising,multiple
khác,1,50,a,native_vietnamese,low_rising,multiple
người khác,2,45,n,sino_vietnamese,rising then falling,multiple
bệnh,1,50,n|v,sino_vietnamese,falling,multiple
bệnh nhân,2,50,n,sino_vietnamese,low_low,multiple
không,1,15,a|v,native_vietnamese,low_rising,multiple
không quá,2,45,a,sino_vietnamese,falling,multiple
không đúng,2,35,a,sino_vietnamese,low falling then high rising,multiple
Không sao,2,50,n,native_vietnamese,low_rising, high_falling,multiple
không cần,2,50,v,native_vietnamese,low_tone,multiple
rau,1,50,n,sino_vietnamese,high_level,multiple
trà,1,50,n,sino_vietnamese,rising,multiple
khác,1,50,a,native_vietnamese,low_rising,multiple
thường,1,25,a|m,sino_vietnamese,high_level,multiple
thường,1,50,a,native_vietnamese,rising,multiple
hát,1,25,v,sino_vietnamese,low_rising,multiple
hát,1,50,v,native_vietnamese,low_rising,multiple
xe,1,50,n,sino_vietnamese,high_level,multiple
vé,1,25,n,native_vietnamese,high_tone,multiple
xe,1,12,n,native_vietnamese,low,multiple
ga,1,45,n,sino_vietnamese,level_tone,multiple
ăn,1,15,v,sino_vietnamese,high_tone,multiple
ăn cơm,2,15,v,sino_vietnamese,rising tone on both syllables,multiple
ra,1,50,v,sino_vietnamese,low_tone,multiple
ra,1,50,v,native_vietnamese,low_tone,multiple
đi ra,2,50,v,native_vietnamese,tone3 + tone2,multiple
mặc,1,50,v,sino_vietnamese,low_rising,multiple
giường,1,15,n,sino_vietnamese,low_tone,multiple
thứ,1,45,m,sino_vietnamese,low_rising,multiple
theo,1,50,v,sino_vietnamese,low_falling,multiple
sai,1,50,a|v,sino_vietnamese,falling_tone,multiple
đập,1,50,v,sino_vietnamese,falling,multiple
đi taxi,2,50,v,sino_vietnamese,low_rising, neutral,multiple
gọi điện thoại,3,35,v,sino_vietnamese,low_rising,multiple
mở,1,50,v,sino_vietnamese,low_rising,multiple
đánh bóng,2,45,v,sino_vietnamese,low_rising,multiple
lớn,1,12,a|n,sino_vietnamese,low_rising,multiple
đại học,2,50,n,sino_vietnamese,high_level_low_falling,multiple
sinh viên đại học,4,35,n,sino_vietnamese,low_rising,multiple
đến,1,50,v,native_vietnamese,low_rising,multiple
đất,1,50,n,native_vietnamese,low_rising,multiple
nơi,1,25,n,native_vietnamese,falling,multiple
phương,1,50,n,native_vietnamese,low_rising,multiple
trên mặt đất,3,45,n,native_vietnamese,low_rising,multiple
bản đồ,2,45,n,sino_vietnamese,low_rising, mid_level,multiple
của,1,50,p|n,sino_vietnamese,falling,multiple
nhận được,2,45,v,sino_vietnamese,low_rising,multiple
chờ,1,50,v,sino_vietnamese,mid_falling,multiple
em,1,15,n,sino_vietnamese,high,multiple
em trai,2,45,n,native_vietnamese,falling_tone,multiple
thứ,1,50,m,sino_vietnamese,low_rising,multiple
thứ,1,50,m,sino_vietnamese,low_rising,multiple
thứ hai,2,35,n,sino_vietnamese,low falling then rising,multiple
điểm,1,50,n|v,sino_vietnamese,falling,multiple
điện,1,50,n|v,sino_vietnamese,falling,multiple
điện thoại,2,25,n,sino_vietnamese,rising_rising,multiple
máy tính,2,50,n,sino_vietnamese,high-level then rising,multiple
