word,syllable_count,frequency,etymology_origin,tone_pattern,pos_tags
yêu,1,50,sino_vietnamese,low_falling,v|n
thích,1,50,native_vietnamese,low,v
tám,1,12,native_vietnamese,low_rising,m
bố,1,50,sino_vietnamese,high_level,n
bố,1,30,sino_vietnamese,high_level,n
bar,1,50,sino_vietnamese,high_level,n
trắng,1,50,native_vietnamese,low_rising,a
ngày,1,50,sino_vietnamese,rising,n
trăm,1,50,sino_vietnamese,falling,m
lớp,1,50,sino_vietnamese,low_rising,n
nửa,1,50,sino_vietnamese,low_rising,m
nửa năm,2,50,native_vietnamese,mid_rising,n
nửa ngày,2,50,sino_vietnamese,low_low,n
giúp,1,50,sino_vietnamese,rising,v
bao,1,50,sino_vietnamese,low_rising,v|n
bánh bao,2,50,sino_vietnamese,low_rising, high_level,n
cốc,1,50,sino_vietnamese,low_rising,n
cốc,1,50,sino_vietnamese,rising,n
bắc,1,50,sino_vietnamese,high_level,n
phía bắc,2,45,sino_vietnamese,high_level_tone,n
Bắc Kinh,2,50,sino_vietnamese,low_level_rising,n
cuốn,1,50,sino_vietnamese,low_rising,n|m
sách,1,50,sino_vietnamese,rising,n
Bỉ,1,50,sino_vietnamese,falling,n
biệt,1,50,sino_vietnamese,low_rising,v
khác,1,45,native_vietnamese,low_rising,a
người khác,2,50,sino_vietnamese,high_level, high_rising,n
bệnh,1,50,sino_vietnamese,low_rising,n
bệnh nhân,2,45,sino_vietnamese,low_low,n
không,1,50,sino_vietnamese,low_rising,a|n
không,1,50,native_vietnamese,low_rising,a
sai,1,50,native_vietnamese,low_rising,a
không sao,2,50,native_vietnamese,low_rising, high_level,a
không cần,2,50,native_vietnamese,mid_mid,v
món,1,50,sino_vietnamese,low_rising,n
trà,1,50,sino_vietnamese,rising,n
chênh lệch,2,50,sino_vietnamese,low_low,n
thường,1,50,sino_vietnamese,mid_level,a|n
thường,1,50,sino_vietnamese,high,a
hát,1,45,sino_vietnamese,low_rising,v
ca hát,2,50,sino_vietnamese,mid-rising, low-rising,v
xe,1,50,sino_vietnamese,high,n
vé,1,50,sino_vietnamese,rising,n
xe,1,50,sino_vietnamese,high_level,n
trạm,1,50,sino_vietnamese,low_rising,n
ăn,1,50,sino_vietnamese,high,v
ăn,1,50,native_vietnamese,mid_tone,v
ra,1,45,sino_vietnamese,mid_tone,v
