simplified,vietnamese,pinyin,english,hsk_level
阿姨,,ā yí,maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child),5
啊,,ā,interjection of surprise; Ah!; Oh!,5
矮,,ǎi,low; short (in length),5
矮小,,ǎi xiǎo,short and small; low and small; undersized,5
爱,,ài,to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen),5
爱国,,ài guó,to love one's country; patriotic,5
爱好,,ài hào,to like; to be fond of; to take pleasure in; to be keen on; interest; hobby,5
爱护,,ài hù,to cherish; to treasure; to take care of; to love and protect,5
爱情,,ài qíng,romance; love (romantic),5
爱人,,ài ren,spouse (PRC); lover (non-PRC),5
爱心,,ài xīn,"compassion; kindness; care for others; love; charity (bazaar, golf day etc); heart (the symbol ♥)",5
安,,Ān,surname An,5
安静,,ān jìng,quiet; peaceful; calm,5
安排,,ān pái,to arrange; to plan; to set up; arrangements; plans,5
安全,,ān quán,safe; secure; safety; security,5
安慰,,ān wèi,to comfort; to console,5
安置,,ān zhì,to find a place for; to help settle down; to arrange for; to get into bed; placement,5
安装,,ān zhuāng,to install; to erect; to fix; to mount; installation,5
岸,,àn,variant of 岸,5
岸上,,àn shàng,ashore; on the riverbank,5
按,,àn,to press; to push; to leave aside or shelve; to control; to restrain; to keep one's hand on; to check or refer to; according to; in the light of; (of an editor or author) to make a comment,5
按摩,,àn mó,massage; to massage,5
按时,,àn shí,on time; before deadline; on schedule,5
按照,,àn zhào,according to; in accordance with; in the light of; on the basis of,5
暗,,àn,variant of 暗,5
暗示,,àn shì,to hint; to suggest; hint; suggestion,5
八,,bā,eight; 8,5
拔,,bá,to pull up; to pull out; to draw out by suction; to select; to pick; to stand out (above level); to surpass; to seize,5
把,,bǎ,"to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar; classifier: handful, bundle, bunch; classifier for things with handles; (used to put the object before the verb: 把 + {noun} + {verb})",5
把握,,bǎ wò,to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome),5
爸,,bà,father; dad; pa; papa,5
爸爸,,bà ba,(coll.) father; dad,5
巴士,,bā shì,bus (loanword); motor coach,5
吧,,bā,"bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 贴吧",5
白,,Bái,surname Bai,5
白菜,,bái cài,Chinese cabbage; pak choi,5
白酒,,bái jiǔ,"baijiu, a spirit usually distilled from sorghum; (Tw) white wine (abbr. for 酒)",5
白色,,bái sè,white; fig. reactionary; anti-communist,5
白天,,bái tiān,daytime; during the day; day,5
百,,Bǎi,surname Bai,5
百货,,bǎi huò,general merchandise,5
摆,,bǎi,to arrange; to exhibit; to move to and fro; a pendulum,5
摆动,,bǎi dòng,to sway; to swing; to move back and forth; to oscillate,5
摆脱,,bǎi tuō,to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself,5
败,,bài,to defeat; to damage; to lose (to an opponent); to fail; to wither,5
拜访,,bài fǎng,to pay a visit; to call on,5
班,,Bān,surname Ban,5
班级,,bān jí,class (group of students); grade (in school),5
班长,,bān zhǎng,class monitor; squad leader; team leader,5
搬,,bān,to move (i.e. relocate oneself); to move (sth relatively heavy or bulky); to shift; to copy indiscriminately,5
搬家,,bān jiā,to move house; to relocate; to remove (sth),5
板,,bǎn,board; plank; plate; shutter; table tennis bat; clappers (music); accented beat in Chinese music; hard; stiff; to stop smiling or look serious,5
版,,bǎn,a register; block of printing; edition; version; page,5
办,,bàn,to do; to manage; to handle; to go about; to run; to set up; to deal with,5
办法,,bàn fǎ,means; method; way (of doing sth),5
办公室,,bàn gōng shì,office; business premises; bureau,5
办理,,bàn lǐ,to handle; to transact; to conduct,5
办事,,bàn shì,to handle (affairs); to work,5
半,,bàn,half; semi-; incomplete; (after a number) and a half,5
半年,,bàn nián,half a year,5
半天,,bàn tiān,half of the day; a long time; quite a while; midair,5
半夜,,bàn yè,midnight; in the middle of the night,5
扮演,,bàn yǎn,to play the role of; to act,5
帮,,bāng,old variant of 帮,5
帮忙,,bāng máng,to help; to lend a hand; to do a favor; to do a good turn,5
帮助,,bāng zhù,assistance; aid; to help; to assist,5
棒,,bàng,stick; club; cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race,5
包,,Bāo,surname Bao,5
包裹,,bāo guǒ,to wrap up; to bind up; bundle; parcel; package,5
包含,,bāo hán,to contain; to embody; to include,5
包括,,bāo kuò,to comprise; to include; to involve; to incorporate; to consist of,5
包围,,bāo wéi,to surround; to encircle; to hem in,5
包装,,bāo zhuāng,to pack; to package; to wrap; packaging,5
包子,,bāo zi,bao (steamed stuffed bun),5
薄,,Bó,surname Bo,5
薄弱,,bó ruò,weak; frail,5
宝,,bǎo,variant of 宝,5
宝宝,,bǎo bao,darling; baby,5
宝贝,,bǎo bèi,treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character,5
宝贵,,bǎo guì,valuable; precious; to value; to treasure; to set store by,5
宝石,,bǎo shí,precious stone; gem,5
饱,,bǎo,to eat till full; satisfied,5
保,,Bǎo,Bulgaria; Bulgarian; abbr. for 保加利亚,5
保安,,bǎo ān,to ensure public security; to ensure safety (for workers engaged in production); public security; security guard,5
保持,,bǎo chí,to keep; to maintain; to hold; to preserve,5
保存,,bǎo cún,to conserve; to preserve; to keep; to save (a file etc) (computing),5
保护,,bǎo hù,to protect; to defend; to safeguard; protection,5
保留,,bǎo liú,to keep; to retain; to have reservations (about sth); to hold back (from saying sth); to put aside for later,5
保密,,bǎo mì,to keep sth confidential; to maintain secrecy,5
保守,,bǎo shǒu,conservative; to guard; to keep,5
保卫,,bǎo wèi,to defend; to safeguard,5
保险,,bǎo xiǎn,insurance; to insure; safe; secure; be sure; be bound to,5
保养,,bǎo yǎng,to take good care of (or conserve) one's health; to keep in good repair; to maintain; maintenance,5
保证,,bǎo zhèng,guarantee; to guarantee; to ensure; to safeguard; to pledge,5
报,,bào,to announce; to inform; report; newspaper; recompense; revenge,5
报答,,bào dá,to repay; to requite,5
报到,,bào dào,to report for duty; to check in; to register,5
报道,,bào dào,to report (news); report,5
报告,,bào gào,to inform; to report; to make known; report; speech; talk; lecture,5
报警,,bào jǐng,to sound an alarm; to report sth to the police,5
报名,,bào míng,to sign up; to enter one's name; to apply; to register; to enroll; to enlist,5
报纸,,bào zhǐ,newspaper; newsprint,5
抱,,bào,to hold; to carry (in one's arms); to hug; to embrace; to surround; to cherish; (coll.) (of clothes) to fit nicely,5
抱怨,,bào yuàn,to complain; to grumble; to harbor a complaint; to feel dissatisfied,5
杯,,bēi,"cup; trophy cup; classifier for certain containers of liquids: glass, cup",5
杯子,,bēi zi,cup; glass,5
悲剧,,bēi jù,tragedy,5
悲伤,,bēi shāng,sad; sorrowful,5
北,,běi,north; (classical) to be defeated,5
北边,,běi biān,north; north side; northern part; to the north of,5
北部,,běi bù,northern part,5
北方,,běi fāng,north; the northern part a country; China north of the Yellow River,5
北极,,běi jí,the North Pole; the Arctic Pole; the north magnetic pole,5
北京,,Běi jīng,"Beijing, capital of the People's Republic of China",5
背,,bēi,variant of 背,5
背包,,bēi bāo,knapsack; rucksack; infantry pack; field pack; blanket roll,5
背后,,bèi hòu,behind; at the back; in the rear; behind sb's back,5
背景,,bèi jǐng,background; backdrop; context; (fig.) powerful backer,5
倍,,bèi,"(two, three etc) -fold; times (multiplier); double; to increase or multiply",5
